topic,title,summary,url,image_url,date
energy-utilities,DOT awards $3.2B to 180 projects,"Transportation Secretary Sean Duffy said the Biden administration left the transportation department with 3,200 unobligated grants.",https://www.smartcitiesdive.com/news/transportation-department-duffy-32b-grants-180-projects/747467/,https://imgproxy.divecdn.com/QNBAbBWpoNK4O2S3VMu1ovFuqJoTKcfEvYe6squ78ME/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNzg4MzA1LmpwZw==.webp,Unknown
energy-utilities,House bill would rescind $3.1B from transportation equity grants,"If enacted, some 78 projects funded by the Neighborhood Access and Equity program would be at risk of losing grants previously awarded.",https://www.smartcitiesdive.com/news/house-republicans-rescind-reconnecting-communities-equity-grants/747089/,https://imgproxy.divecdn.com/qavgNm1GBMRrcQcUl4AiaYg969DT-3I6aDisx9ULS8E/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMzBfYXRfMTAuMDkuMzNBTV9jb3B5LnBuZw==.webp,Unknown
housing,Smart from the start: The future of pavement preservation has arrived,"America’s residential streets are declining, but an emerging solution helps take the health of your local roads and your community to the next level.",https://www.smartcitiesdive.com/spons/smart-from-the-start-the-future-of-pavement-preservation-has-arrived/747340/,https://imgproxy.divecdn.com/n1kLh3-xTgiCc4vQKyEsfM6M-FByz8uG1Frulmr9Gqg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TbWFydENpdGllc19JbWFnZS5wbmc=.webp,By Greg Spotts •
housing,"Tariff concerns mean uncertainty for multifamily housing, industry economist says","Former RealPage Chief Economist Jay Parsons unpacks the future impacts of supply, rent growth and rent control legislation.",https://www.smartcitiesdive.com/news/tariffs-rents-supply-demand-rent-control/747396/,https://imgproxy.divecdn.com/psA3eglz7e92-QNAMI6J6z0vAsgNEk8hiXUQK5sRmMY/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0xMjEzMTIwNzgyLmpwZw==.webp,"By
                                
                                    

                                    Mary Salmonsen

                                    

                                    
                                
                                    •"
housing,Silicon Valley apartments anticipate return-to-office housing needs,"Adjacent to Levi’s Stadium in Santa Clara, California, the development features housing, parks, bike lanes, restaurants and shops.",https://www.smartcitiesdive.com/news/california-silicon-valley-apartments/747139/,https://imgproxy.divecdn.com/4yFGQcogZTntdamvp2Cz1HVv9bjm9HnNQdw5mibs8qU/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9UaGVDbGFyYS1FeHRlcmlvcjJfUENTdGV2ZW5NYWduZXIuanBn.webp,"By
                                
                                    

                                    Jennifer Goodman

                                    

                                    
                                
                                    •"
housing,Housing more than twice as expensive to build in California as in Texas,"Longer project timelines and more regulations contribute to the difference in cost, according to a new report.",https://www.smartcitiesdive.com/news/california-texas-housing-costs-construction-rand-analysis/746264/,https://imgproxy.divecdn.com/V7cSK6Xu3skja-fox_2Q3_tEIumolZ4Qhvge3lN5Nsk/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0xNDg3NDczNDYzLmpwZw==.webp,"By
                                
                                    

                                    Mary Salmonsen

                                    

                                    
                                
                                    •"
housing,More Baltimore office-to-residential conversions face foreclosure,"At least three conversions in Baltimore have faced loan defaults or bankruptcies in the past year, but the companies related to them have had successes in other cities.",https://www.smartcitiesdive.com/news/office-to-residential-conversion-multifamily-distress-foreclosure/745131/,https://imgproxy.divecdn.com/uu6vTq8oxL8Qzel-HdbeHkO32OocJPhXqd4-e5-LI8k/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9EU0NOMzU3Ni5KUEc=.webp,"By
                                
                                    

                                    Leslie Shaver

                                    

                                    
                                
                                    •"
housing,Denver tenants awarded $13.5M in class action lawsuit,The plaintiffs argued that the owners and operator of the Mint Urban Infinity Apartments had violated the state’s warranty of habitability law.,https://www.smartcitiesdive.com/news/denver-mint-urban-lawsuit-cardinal-housing-habitability/744859/,https://imgproxy.divecdn.com/ej_gOK5YLVX9c4L51WGVijdY7GKThkh6U1kpcGoRuuI/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMDdfMTYwMjAwLnBuZw==.webp,"By
                                
                                    

                                    Mary Salmonsen

                                    

                                    
                                
                                    •"
housing,"Solving LA’s housing crisis hinges on policy, zoning reform: experts","Wildfire reconstruction policies could provide a road map for lowering housing construction costs and adding more housing citywide, experts say.",https://www.smartcitiesdive.com/news/solving-las-housing-crisis-hinges-on-policy-zoning-reform-experts/744606/,https://imgproxy.divecdn.com/05TsVHnWNGqcc1prs_2FXHzxLRAGTgaRj4VA0e58ZHg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTkzMjE5OTc4LmpwZw==.webp,By Danielle McLean •
housing,"RealPage sues Berkeley, California, over rent pricing technology ban",The software provider claims the California city’s recent ordinance on pricing technology imposes a “sweeping and unconstitutional ban on lawful speech.”,https://www.smartcitiesdive.com/news/realpage-lawsuit-artificial-intelligence-free-speech-/744478/,https://imgproxy.divecdn.com/wQhXSz_Jl2D_6FDohVkaaNXU2MqB8Cjs3FXHR9l-L4Q/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTUyMzk5MjY4X3R0SVFVWTIuanBn.webp,"By
                                
                                    

                                    Leslie Shaver

                                    

                                    
                                
                                    •"
housing,"Housing, utilities, food among top US needs in 2024: United Way survey","“At a moment when individuals and communities need more support, but national and local resources are uncertain,” the survey results can help identify cross-sector solutions, United Way Worldwide CEO Angela Williams said.",https://www.smartcitiesdive.com/news/housing-utilities-food-among-top-us-needs-in-2024-united-way-survey/744209/,https://imgproxy.divecdn.com/rIUBtQyVOD1CDBHe0jJaeeQEikbcvTHQEZ4Bzgz5Irc/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTczMjA1NDMyc21hbGxlci5qcGc=.webp,By Ryan Kushner •
housing,Preparing manufactured homes for extreme weather: 5 barriers,"Zoning, financing and other regulations can leave this more affordable form of housing vulnerable. Some communities are addressing the risk.",https://www.smartcitiesdive.com/news/preparing-manufactured-homes-for-extreme-weather-5-barriers/744058/,https://imgproxy.divecdn.com/hqEcf0CLF3sok9SWNnjmKifiue-9UIHAlLQFM5nCMM0/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy04NDYwNjM3OThzbWFsbGVyLmpwZw==.webp,By Leslie Nemo •
tech-data,Amtrak could modernize Northeast Corridor for less: NYU study,"Researchers at New York University propose innovations to turn the Northeast Corridor into a true high-speed rail line, benefiting commuters and intercity riders.",https://www.smartcitiesdive.com/news/amtrak-northeast-corridor-nyu-study/747235/,https://imgproxy.divecdn.com/CTOEsWDUB7PN8jYzu6juR6kO9D0Vh8bbnEBHVFzewfA/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8wNjExMjAyMV9Sb3V0ZTEyOF8wMjE5N19zeXRxV1doLmpwZw==.webp,Unknown
tech-data,NOAA stops tracking cost of extreme weather and climate disasters,"The data can't be replicated by city and state governments, scientists say.",https://www.smartcitiesdive.com/news/noaa-stops-tracking-climate-disasters-billion-dollar-database/747652/,https://imgproxy.divecdn.com/ZX4uX9_nPP8FoIe7FX6jL7WYgBPEctNPdRiipUbGRdg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTgwMDM5MzM0LmpwZw==.webp,Unknown
tech-data,DOT awards $3.2B to 180 projects,"Transportation Secretary Sean Duffy said the Biden administration left the transportation department with 3,200 unobligated grants.",https://www.smartcitiesdive.com/news/transportation-department-duffy-32b-grants-180-projects/747467/,https://imgproxy.divecdn.com/QNBAbBWpoNK4O2S3VMu1ovFuqJoTKcfEvYe6squ78ME/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNzg4MzA1LmpwZw==.webp,Unknown
